open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
1772204400000,65887.59,66311.11,65845.18,66095.4,957.11978,1772207999999,63243068.1122629,257350,483.46987,31947647.7978903
1772208000000,66095.4,66121.03,65462.93,65475.21,1135.56487,1772211599999,74680165.610414,230480,446.03373,29336920.9785168
1772211600000,65475.21,65765.06,65113.72,65703.19,1265.39709,1772215199999,82804750.0516629,238209,701.41209,45913581.3907777
1772215200000,65703.18,65788.07,65228.33,65314.76,623.00837,1772218799999,40810449.0720163,151605,309.04405,20258381.8150138
1772218800000,65314.76,65457.35,65172.6,65392.18,851.95591,1772222399999,55670464.7039613,117356,449.55886,29380661.1110606
1772222400000,65392.18,65666.66,65392.18,65594.67,444.86468,1772225999999,29170190.3122599,110666,220.82377,14478663.6666055
1772226000000,65594.67,65749.94,65400.0,65527.59,282.6564,1772229599999,18544264.0214933,80506,136.78752,8975328.7787078
1772229600000,65527.59,65673.33,64914.46,65637.99,713.5349,1772233199999,46582991.7085998,104817,294.99813,19286699.2022138
1772233200000,65638.0,65953.2,65551.67,65872.1,326.8612,1772236799999,21513885.8632335,67020,185.04361,12180687.6814487
1772236800000,65872.09,66025.52,65721.13,65942.0,334.42449,1772240399999,22033745.7800249,67480,168.28229,11089712.3809546
1772240400000,65942.01,65971.93,65743.71,65770.36,267.81274,1772243999999,17640879.3660715,71083,152.57004,10051792.4037507
1772244000000,65770.36,66018.85,65761.94,65961.13,204.09288,1772247599999,13457284.7651456,56507,112.54049,7420482.5477721
1772247600000,65961.13,65982.34,65745.39,65797.42,239.41397,1772251199999,15767725.6473301,63285,97.71246,6436062.427713
1772251200000,65797.42,65818.44,65488.0,65663.2,311.53682,1772254799999,20454833.4143187,79273,107.19896,7039738.2307553
1772254800000,65663.21,65729.65,65500.0,65591.03,300.20395,1772258399999,19691152.3827437,69264,102.64567,6733400.837967
1772258400000,65591.03,65591.04,63030.0,63216.01,3175.19445,1772261999999,203699115.89985,615840,1289.80747,82713203.0820612
1772262000000,63216.01,64327.22,63038.0,63826.0,2127.97927,1772265599999,135680221.7236071,416921,1082.02848,68953873.8075275
1772265600000,63825.99,63877.09,63411.39,63473.28,1118.13838,1772269199999,71149963.6515905,264171,529.20575,33679179.5557958
1772269200000,63473.27,64005.35,63372.1,63658.54,737.11739,1772272799999,46946317.9929025,220795,439.40455,27997595.4161298
1772272800000,63658.55,64053.93,63452.64,64010.39,1633.42712,1772276399999,104290889.6353478,197769,878.14376,56077416.5390825
1772276400000,64010.38,64307.44,63791.25,63844.2,1245.63976,1772279999999,79810960.2047814,156555,664.42721,42571700.9937781
1772280000000,63844.2,64082.66,63827.2,64017.19,474.84169,1772283599999,30383260.392442,95364,316.81442,20275237.5098841
1772283600000,64017.18,65216.97,63888.89,65106.44,1748.13055,1772287199999,112602961.6547146,239934,1029.37855,66289860.6445105
1772287200000,65106.45,65360.51,64278.5,64435.61,1331.97244,1772290799999,86384184.1959513,331907,673.00491,43665522.5141453
1772290800000,64435.62,65020.75,64200.0,64841.18,731.53889,1772294399999,47296650.1036484,205062,397.03404,25679345.3462473
1772294400000,64841.17,65206.25,64681.81,65094.3,500.23365,1772297999999,32507176.3279884,199610,293.70961,19091198.4257341
1772298000000,65094.29,65555.0,64828.03,65442.62,595.58409,1772301599999,38777841.0138276,175603,280.29737,18263588.7278774
1772301600000,65442.61,66157.61,65185.7,65911.84,830.58148,1772305199999,54542262.564758,278973,472.47092,31037923.3736613
1772305200000,65911.83,66666.65,65602.65,66362.01,1072.73124,1772308799999,71025218.8431786,322392,656.72635,43494282.081443
1772308800000,66362.01,67151.68,66190.61,66959.62,840.13263,1772312399999,56107117.2412369,329810,476.84339,31844199.4239258
1772312400000,66959.63,67055.56,66368.42,66723.22,934.75984,1772315999999,62309093.5704764,248442,433.85291,28933925.1323296
1772316000000,66723.23,67760.0,66608.82,67103.64,1310.09118,1772319599999,87950234.2035777,395017,675.31952,45344629.2227813
1772319600000,67103.63,67210.0,66733.73,66973.26,483.13759,1772323199999,32355317.6860528,167457,201.6889,13506519.8065549
1772323200000,66973.26,67121.8,66620.5,66791.29,560.35194,1772326799999,37472155.8090198,185423,304.82012,20393713.924538
1772326800000,66791.29,67703.32,66042.72,67339.36,1630.19028,1772330399999,108995343.8342873,360834,899.21803,60174380.3804906
1772330400000,67339.36,68199.99,67339.36,67620.65,1861.8227,1772333999999,126344237.8842943,418773,939.97406,63793129.9318799
1772334000000,67620.65,67813.33,67400.0,67502.16,637.99716,1772337599999,43121410.1606624,169341,298.67476,20191065.0665455
1772337600000,67502.16,67612.14,67079.36,67346.5,631.60541,1772341199999,42519575.5040446,135372,261.03313,17570640.6294203
1772341200000,67346.5,67574.65,67200.0,67292.09,437.89406,1772344799999,29525060.4947155,106422,212.55241,14331212.101264
1772344800000,67292.08,67345.8,66749.35,66926.68,1159.96329,1772348399999,77705015.278952,151457,474.15445,31765848.9143301
1772348400000,66926.69,67235.72,66784.58,67141.39,937.93278,1772351999999,62919705.9290609,118317,491.73358,32982031.5557483
1772352000000,67141.4,67292.3,66389.33,66560.14,1475.81311,1772355599999,98529048.3395499,214840,381.01048,25485843.2601689
1772355600000,66560.14,66771.1,66246.95,66410.08,815.73368,1772359199999,54247848.6586604,263885,372.03993,24741013.2446076
1772359200000,66410.09,66731.47,66215.71,66467.06,621.17753,1772362799999,41300697.7144149,171523,361.133,24014426.4982667
1772362800000,66467.07,66661.61,66372.27,66468.03,338.19615,1772366399999,22491257.9479955,96844,176.37133,11731300.6931366
1772366400000,66468.04,66550.0,66241.97,66296.48,388.82935,1772369999999,25829283.0339094,118538,210.85385,14009629.5613687
1772370000000,66296.48,67360.57,66132.27,66934.79,1311.02111,1772373599999,87608503.262535,297279,701.5774,46919088.2002688
1772373600000,66934.8,67320.19,66752.58,66847.8,911.62631,1772377199999,61042094.2556565,338803,465.29871,31173781.3739263
1772377200000,66847.8,67243.69,66828.6,66842.42,1028.55576,1772380799999,69002328.9113976,222798,606.52153,40679415.4993612
1772380800000,66842.42,67112.37,65730.28,66135.45,1500.74296,1772384399999,99766384.5092212,330626,659.11423,43887446.6750945
